id,phase,stage,showToClient,dependencies,taskTitle,isSubtask,parentTaskId,completed,subtaskStatus,Owner,startDate,dueDate,dateCompleted
26,Phase 1,Launch Data & Systems Prep,TRUE,1,Analyzer Procurement/Order Diazyme vs. Immotox vs. AU480 vs Zybio,FALSE,,TRUE,,,,12/1/25,
27,Phase 1,Launch Data & Systems Prep,FALSE,1,Forecasting: Monthly/Yearly QUA Test Confirmation (Verifying Sales Usage Report Given),TRUE,25,TRUE,TRUE,,,11/18/2025,
28,Phase 1,Launch Data & Systems Prep,FALSE,1,Forecasting: Validation Kit = Linearity Specificity Interference Materials,TRUE,25,TRUE,TRUE,,,11/18/2025,
29,Phase 1,Launch Data & Systems Prep,FALSE,1,Forecasting: Sample Kits ½ Cals/Controls/Reagents,TRUE,25,TRUE,TRUE,,,11/18/2025,
30,Phase 1,Launch Data & Systems Prep,FALSE,1,Forecasting: Urine Samples Needed (Min. 30-50),TRUE,25,TRUE,TRUE,,,11/18/2025,
31,Phase 1,Launch Data & Systems Prep,FALSE,1,Forecasting: Define live testing kits needed and initial 30-60 day supply cadence per initial volume projections,TRUE,25,TRUE,TRUE,,,11/18/2025,
32,Phase 1,Launch Data & Systems Prep,FALSE,1,Prepare inventory management tracking in client portal for client,FALSE,25,TRUE,TRUE,,,11/18/2025,
33,Phase 1,Launch Data & Systems Prep,TRUE,1,Project Launch Management Board Setup,FALSE,,TRUE,,,,11/18/2025,
34,Phase 1,Launch Data & Systems Prep,FALSE,1,Contingency & Mitigation Plans Available,FALSE,,TRUE,,,,,
35,Phase 1,KPIs,TRUE,1,KPI's Solidified (Client-Facing),FALSE,,TRUE,,,,,
36,Phase 1,KPIs,FALSE,1,Target KPI's (Internally + Client Facing) Defined for this Launch,FALSE,,TRUE,,,,,
37,Phase 1,Launch Data & Systems Prep,TRUE,1,Host Implementation Call #1,FALSE,,TRUE,,,,11/4/2025,
38,Phase 2,Sprint 1: Core System Setups,TRUE,1,Analyte Materials Ordered,FALSE,,FALSE,,,,11/20/2025,
39,Phase 2,Sprint 1: Core System Setups,FALSE,1,Thrive requests SO for needed kits from Manufacturers,TRUE,38,FALSE,TRUE,,,11/20/2025,
40,Phase 2,Sprint 1: Core System Setups,FALSE,1,"Lead Time Confirmed for Validation, Sample Kit, and Live Testing Items, including those on Backorder",TRUE,38,FALSE,TRUE,,,11/20/2025,
41,Phase 2,Sprint 1: Core System Setups,FALSE,1,SO Sent to Accounting/Thrive,TRUE,38,FALSE,TRUE,,,11/20/2025,
42,Phase 2,Sprint 1: Core System Setups,FALSE,1,SO Reviewed and Formal PO Sent,TRUE,38,FALSE,TRUE,,,11/20/2025,
43,Phase 2,Sprint 1: Core System Setups,FALSE,1,Validation Kit + 200 Sample Items + 1st 30 Day Kit Ordered,TRUE,38,FALSE,TRUE,,,11/20/2025,
44,Phase 2,Sprint 1: Core System Setups,TRUE,1,BHB Linearity and Group Audit Linearity Kit Ordered,TRUE,38,FALSE,TRUE,,,11/20/2025,
45,Phase 2,Sprint 1: Core System Setups,FALSE,1,Formally CONFIRM Ancillary Supplies Ordered by Lab,TRUE,46,TRUE,,,,12/30/2025,12/31/2025
46,Phase 2,Sprint 1: Core System Setups,TRUE,1,Ancillary Supplies Ordered,FALSE,,FALSE,,,,,
47,Phase 2,Sprint 1: Core System Setups,TRUE,1,DI Water Source Procured/Confirmed,FALSE,,FALSE,,,,,
48,Phase 2,Sprint 1: Core System Setups,TRUE,1,DI Water Pump or Gallons Ordered (If Needed),TRUE,47,TRUE,,,,,12/04/2025
49,Phase 2,Sprint 1: Core System Setups,TRUE,1,Confirm Analyzer Tracking & Delivery Dates,FALSE,,TRUE,,,,,12/22/25
50,Phase 3,Sprint 1: Core System Setups,FALSE,"1, 49, 47",Confirm Installer Availability for Soft Pilot + Go Live Dates,FALSE,,TRUE,,,,12/28/2025,12/26/25
51,Phase 4,Sprint 1: Core System Setups,FALSE,1,Book Installer/Launch Team Trip Details,TRUE,50,FALSE,,,,12/30/25,
52,Phase 4,Sprint 1: Core System Setups,FALSE,"1, 49, 47",Schedule Onboarding Call,FALSE,,FALSE,,,,12/30/2025,
53,Phase 2,Sprint 1: Core System Setups,TRUE,"1, 15",CLIA Upgrade - Spot-Check on Processing,FALSE,,FALSE,,,,,
55,Phase 2,Sprint 1: Core System Setups,FALSE,"1, 15",Invoicing: CLIA Service,TRUE,,FALSE,,,,,
57,Phase 2,Sprint 1: Core System Setups,TRUE,"1, 13",Ensure CPT Verifications/Accounting Information/Fee Schedule Complete and Align with Contract (2nd checkpoint),FALSE,,FALSE,,,,,
58,Phase 2,Sprint 2: Lab & QUA Pilot Prep,TRUE,"1, 49, 47",Onboarding Call,FALSE,,FALSE,,,,1/2/2026,
59,Phase 2,Sprint 2: Lab & QUA Pilot Prep,FALSE,"1, 49, 47",Finalize Onboarding/Launch Build Pre-Call,TRUE,58,FALSE,,,,,
60,Phase 2,Sprint 2: Lab & QUA Pilot Prep,FALSE,"1, 49, 47",Host Onbording Call,TRUE,58,FALSE,,,,,
62,Phase 2,Sprint 2: Lab & QUA Pilot Prep,FALSE,"1, 38",Confirm Validation & Sample Kits In Coming & Tracking Received,FALSE,,FALSE,,,,,
63,Phase 2,Sprint 2: Lab & QUA Pilot Prep,FALSE,1,Backordered Item Procurement - Expected Delivery of BO items confirmed,FALSE,,FALSE,,,,,
65,Phase 2,Sprint 3: Soft-Pilot,FALSE,1,Ancillary Supplies Delivered,FALSE,,FALSE,,,,,
66,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Analyzer Delivered,FALSE,,FALSE,,,,,
67,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Analyzer Installation Complete,FALSE,,TRUE,,,,,1/5/2026
68,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Analyzer Any Desk Setup (Ensure Unattended Access),FALSE,,FALSE,,,,,
69,Phase 2,Sprint 3: Soft-Pilot,FALSE,1,Confirm All Validation + Go-Live Items Delivered (Internally),FALSE,,FALSE,,,,,
71,Phase 2,Sprint 3: Soft-Pilot,FALSE,1,"Lab Team Provided Material Inserts, COAs & SOP Templates",FALSE,,FALSE,,,,,
72,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Pilot,FALSE,,FALSE,,,,1/5/2026,
73,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: Pre Launch Feedback,TRUE,72,FALSE,,,,1/7/2026,
74,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: Confirming receipt of Validation + Sample Items via Packing Slip (PS),TRUE,72,FALSE,,,,1/9/2026,
75,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: Ancillary Supply Checklist,TRUE,72,FALSE,,,,1/9/2026,
76,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: LIS Connection & Compatibility Check In,TRUE,72,FALSE,,,,1/9/2026,
77,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: Final Preparations for Go Live,TRUE,72,FALSE,,,,1/9/2026,
78,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: Urine Samples Obtained by Clinic,TRUE,72,FALSE,,,,1/9/2026,
79,Phase 2,Sprint 3: Soft-Pilot,TRUE,1,Virtual Soft Validation: Thrive 365 Welcome Packet & Training Presentation Finalized,TRUE,72,FALSE,,,,1/9/2026,
80,Phase 2,Sprint 3: Soft-Pilot,FALSE,1,Systems & Parameter Setup,FALSE,,FALSE,,,,1/8/2026,
81,Phase 3,Training/Validation,TRUE,1,Training & Validation,FALSE,,FALSE,,,,1/12/2026,
82,Phase 3,Training/Validation,TRUE,1,Review Install SOP/Training Presentation with Lab Tech BEFORE Begining Validation Process,TRUE,81,FALSE,,,,1/12/2026,
83,Phase 3,Training/Validation,TRUE,1,Setup Reagents/Cals/QCs,TRUE,81,FALSE,,,,1/12/2026,
84,Phase 3,Training/Validation,TRUE,1,Intraprecision,TRUE,81,FALSE,,,,1/12/2026,
85,Phase 3,Training/Validation,TRUE,1,Interprecision,TRUE,81,FALSE,,,,1/13/2026,
86,Phase 3,Training/Validation,TRUE,1,Interference Mix,TRUE,81,FALSE,,,,1/12/2026,
87,Phase 3,Training/Validation,TRUE,1,Linearity,TRUE,81,FALSE,,,,1/12/2026,
88,Phase 3,Training/Validation,TRUE,1,Specificity,TRUE,81,FALSE,,,,1/14/2026,
89,Phase 3,Training/Validation,TRUE,1,LODs,TRUE,81,FALSE,,,,1/14/2026,
90,Phase 3,Training/Validation,TRUE,1,LOBs,TRUE,81,FALSE,,,,1/14/2026,
91,Phase 3,Training/Validation,TRUE,1,Patient Correlation Studies,TRUE,81,FALSE,,,,1/14/2026,
92,Phase 3,Go-Live,TRUE,1,Go-Live,FALSE,,FALSE,,,,1/21/2026,
93,Phase 3,Go-Live,TRUE,1,Validation Packet Sign-Off,TRUE,92,FALSE,,,,1/20/2026,
94,Phase 3,Go-Live,FALSE,1,Go-Live Day Support,TRUE,92,FALSE,,,,1/21/2026,
95,Phase 3,Go-Live,TRUE,1,First Live Patient Samples Processed,FALSE,,FALSE,,,,1/21/2026,
96,Phase 4,Monitoring & Customer Support,TRUE,1,Post-Launch Monitoring & Customer Support,FALSE,,FALSE,,,,1/21/2026,
97,Phase 4,Monitoring & Customer Support,TRUE,1,Week 1 Check-in Call,TRUE,96,FALSE,,,,1/27/2026,
98,Phase 4,Monitoring & Customer Support,TRUE,1,Week 2 Check-in Call,TRUE,96,FALSE,,,,2/4/2026,
99,Phase 4,Monitoring & Customer Support,TRUE,1,30-Day Performance Review,FALSE,,FALSE,,,,,
100,Phase 4,Monitoring & Customer Support,TRUE,1,60-Day Performance Review,FALSE,,FALSE,,,,,
101,Phase 4,Monitoring & Customer Support,TRUE,1,90-Day Final Review & Handoff to Account Management/Customer Success,FALSE,,FALSE,,,,,
102,Phase 4,Monitoring & Customer Support,FALSE,1,Ongoing Customer + Technical Support Provided,FALSE,,FALSE,,,,,
